Player,Age,Pos,GP,G,A,PTS,+/-,PIM,G(EV),G(PP),G(SH),G(GW),A(EV),A(PP),A(SH),S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,-9999
J.T. Miller,30,C,81,37,66,103,32,58,25,10,2,9,36,30,0,194,19.1,1579,19:29,9.0,2.7,11.7,61,217,823,638,56.3,millejt01
Quinn Hughes,24,D,82,17,75,92,38,38,12,5,0,2,42,33,0,199,8.5,2024,24:41,7.9,6.5,14.4,55,29,0,0,,hughequ01
Elias Pettersson,25,C,82,34,55,89,20,12,21,13,0,10,35,18,2,207,16.4,1611,19:39,7.3,2.3,9.6,68,125,406,393,50.8,petteel01
Brock Boeser,26,RW,81,40,33,73,23,14,24,16,0,4,24,9,0,204,19.6,1507,18:36,6.6,2.3,9.0,29,56,13,12,52.0,boesebr01
Filip Hronek,26,D,81,5,43,48,33,38,3,2,0,0,34,9,0,148,3.4,1899,23:26,2.7,5.9,8.6,87,104,0,0,,hronefi01
Conor Garland,27,RW,82,20,27,47,19,35,19,1,0,3,23,4,0,200,10.0,1192,14:32,3.1,1.9,5.0,34,53,2,8,20.0,garlaco01
Nils Höglander,23,LW,80,24,12,36,23,51,24,0,0,5,12,0,0,120,20.0,969,12:06,3.1,1.8,4.8,19,100,0,0,,hoglani01
Dakota Joshua,27,C,63,18,14,32,19,60,17,1,0,5,14,0,0,84,21.4,906,14:23,2.3,1.6,3.9,40,245,34,38,47.2,joshuda01
Ilya Mikheyev,29,F,78,11,20,31,1,4,11,0,0,1,20,0,0,147,7.5,1113,14:16,0.9,1.1,2.1,20,49,8,21,27.6,mikheil01
Pius Suter,27,F,67,14,15,29,17,16,12,2,0,3,12,3,0,105,13.3,1038,15:30,1.2,1.6,2.9,23,54,186,191,49.3,suterpi01
Tyler Myers,33,D,77,5,24,29,16,77,3,0,2,0,24,0,0,93,5.4,1459,18:57,1.5,3.8,5.3,136,110,0,0,,myersty01
Teddy Blueger,29,C,68,6,22,28,4,31,4,0,2,0,20,0,2,97,6.2,1016,14:56,0.4,1.1,1.6,43,98,415,366,53.1,bluegte01
Sam Lafferty,28,C,79,13,11,24,4,32,12,0,1,3,11,0,0,78,16.7,938,11:53,0.9,1.1,2.0,32,191,150,206,42.1,laffesa01
Andrei Kuzmenko,27,F,43,8,13,21,-1,6,5,3,0,2,9,4,0,63,12.7,617,14:21,1.1,0.6,1.6,10,9,1,0,100.0,kuzmean01
Nikita Zadorov,28,D,54,5,9,14,6,102,5,0,0,1,8,0,1,61,8.2,922,17:04,0.7,2.1,2.8,49,124,0,0,,zadorni01
Elias Lindholm,29,C,26,6,6,12,-6,4,3,3,0,1,5,0,1,42,14.3,460,17:42,0.4,0.2,0.7,21,33,206,145,58.7,lindhel01
Ian Cole,34,D,78,2,9,11,10,61,2,0,0,0,9,0,0,61,3.3,1458,18:41,-0.5,3.4,2.9,166,83,0,0,,coleia01
Phillip Di Giuseppe,30,LW,51,5,5,10,-1,36,5,0,0,1,5,0,0,52,9.6,617,12:06,-0.3,0.6,0.3,23,93,5,12,29.4,digiuph01
Anthony Beauvillier,26,LW,22,2,6,8,8,4,1,1,0,0,5,1,0,37,5.4,300,13:39,0.1,0.6,0.7,17,21,6,8,42.9,beauvan01
Nils Åman,23,C,43,3,4,7,-3,8,3,0,0,0,4,0,0,28,10.7,444,10:20,-0.3,0.3,0.1,22,31,72,86,45.6,amanni01
Noah Juulsen,26,D,54,1,6,7,-1,22,1,0,0,0,6,0,0,30,3.3,804,14:54,-0.2,1.4,1.2,85,164,0,0,,juulsno01
Carson Soucy,29,D,40,2,4,6,10,12,1,1,0,0,3,1,0,29,6.9,699,17:29,-0.1,2.0,1.9,64,65,0,0,,soucyca01
Vasily Podkolzin,22,RW,19,0,2,2,-4,8,0,0,0,0,2,0,0,20,0.0,205,10:49,-0.4,0.1,-0.3,3,70,3,5,37.5,podkova01
Jack Studnicka,24,C,5,1,0,1,2,0,1,0,0,0,0,0,0,4,25.0,51,10:11,0.1,0.1,0.2,1,8,4,7,36.4,studnja01
Thatcher Demko,28,G,51,0,1,1,0,0,0,0,0,0,0,0,1,0,,3016,59:08,0.0,0.0,10.7,0,0,0,0,,demkoth01
Casey DeSmith,32,G,29,0,1,1,0,0,0,0,0,0,1,0,0,0,,1663,57:22,0.0,0.0,3.7,0,0,0,0,,desmica01
Mark Friedman,28,D,23,0,1,1,4,21,0,0,0,0,1,0,0,16,0.0,281,12:14,-0.2,0.8,0.6,35,33,0,0,,friedma01
Arshdeep Bains,23,F,8,0,0,0,-5,6,0,0,0,0,0,0,0,4,0.0,94,11:48,-0.3,-0.1,-0.3,2,7,0,2,0.0,bainsar01
Akito Hirose,24,D,3,0,0,0,1,0,0,0,0,0,0,0,0,0,,36,12:06,0.0,0.1,0.1,5,3,0,0,,hirosak01
Linus Karlsson,24,C,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,41,10:09,-0.1,0.0,-0.1,2,3,2,7,22.2,karlsli01
Cole McWard,22,D,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,9:05,0.0,0.0,0.0,0,0,0,0,,mcwarco01
Arturs Silovs,22,G,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,243,60:48,0.0,0.0,0.3,0,0,0,0,,silovar01